id;name;newPrice;avgPrice;bestPrice;worstPrice;percentPrice;percentDiscountPrice;umbral
1;Amuleto;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-amuleto/9788433973559/p/3249041
2;Los Sinsabores del Verdadero Policia;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-los-sinsabores-del-verdadero-policia/9788433976857/p/6989895
3;Una Novelita Lumpen;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-una-novelita-lumpen/9788433977243/p/29390150
4;La Llegada de los Tres (la Torre Oscura ii);29310.0;32100.0;29310.0;33750.0;91.308411215;8;70.0;https://www.buscalibre.cl/libro-la-llegada-de-los-tres-la-torre-oscura-ii/9788401021428/p/49181529
5;Coleccion Completa Sherlock Holmes (8 Volumenes);50420.0;59928.75;50420.0;68450.0;84.1332415577;15;70.0;https://www.buscalibre.cl/libro-coleccion-completa-sherlock-holmes-8-volumenes/9789878354019/p/52195716
6;En Busca del Tiempo Perdido (7 Tomos);77420.0;82288.125;77420.0;86600.0;94.0840491869;5;70.0;https://www.buscalibre.cl/libro-en-busca-del-tiempo-perdido-7-tomos/9788499088464/p/4024026
7;Hojas de Hierba;18300.0;20158.125;18300.0;21780.0;90.7822528137;9;70.0;https://www.buscalibre.cl/libro-hojas-de-hierba/9788467055177/p/51447856
8;La Broma Infinita;36420.0;39843.75;36420.0;41900.0;91.4070588235;8;70.0;https://www.buscalibre.cl/libro-la-broma-infinita/9788439702368/p/2407345
9;Catedral;7650.0;7650.0;7650.0;7650.0;100.0;0;70.0;https://www.buscalibre.cl/libro-catedral/9788433920577/p/1359440
10;Un Árbol de Noche;13660.0;14446.25;13360.0;14960.0;94.5574110928;5;70.0;https://www.buscalibre.cl/libro-un-arbol-de-noche/9788433972477/p/1027459
11;Musica Para Camaleones;16150.0;16352.5;15110.0;16900.0;98.761657239;1;70.0;https://www.buscalibre.cl/libro-musica-para-camaleones/9788433914361/p/1027422
12;El Capitán Salió a Comer y los Marineros Tomaron el Barco;14780.0;16025.625;14780.0;17310.0;92.2272922273;7;70.0;https://www.buscalibre.cl/libro-el-capitan-salio-a-comer-y-los-marineros-tomaron-el-barco/9788433976789/p/4855210
13;Escritos de un Viejo Indecente;7650.0;7650.0;7650.0;7650.0;100.0;0;70.0;https://www.buscalibre.cl/libro-escritos-de-un-viejo-indecente/9788433920881/p/2617571
14;Erecciones, Eyaculaciones, Exhibiciones;14270.0;14484.375;13360.0;14960.0;98.5199568501;1;70.0;https://www.buscalibre.cl/libro-erecciones-eyaculaciones-exhibiciones/9788433914552/p/1270723
15;Hollywood;9350.0;9350.0;9350.0;9350.0;100.0;0;70.0;https://www.buscalibre.cl/libro-hollywood/9788433914262/p/2003140
16;Se Busca una Mujer;8500.0;8500.0;8500.0;8500.0;100.0;0;70.0;https://www.buscalibre.cl/libro-se-busca-una-mujer/9788433920225/p/1027448
17;Shakespeare Nunca lo Hizo;14180.0;15608.75;14180.0;16390.0;90.8464803396;9;70.0;https://www.buscalibre.cl/libro-shakespeare-nunca-lo-hizo/9788433976871/p/6989897
18;Fragmentos de un Cuaderno Manchado de Vino;17250.0;18957.5;17250.0;19920.0;90.9930106818;9;70.0;https://www.buscalibre.cl/libro-fragmentos-de-un-cuaderno-manchado-de-vino/9788433977052/p/27340125
19;Musica de Cañerias;8500.0;8500.0;8500.0;8500.0;100.0;0;70.0;https://www.buscalibre.cl/libro-musica-de-canerias/9788433914729/p/1027421
20;Mujeres;14670.0;16241.875;14670.0;17600.0;90.322084119;9;70.0;https://www.buscalibre.cl/libro-mujeres/9788433920997/p/1027420
21;Factotum;7650.0;7650.0;7650.0;7650.0;100.0;0;70.0;https://www.buscalibre.cl/libro-factotum/9788433920058/p/1271188
22;Pulp;14780.0;15877.5;14780.0;16750.0;93.087702724;6;70.0;https://www.buscalibre.cl/libro-pulp/9788433914873/p/2617475
23;La Máquina de Follar;7650.0;7650.0;7650.0;7650.0;100.0;0;70.0;https://www.buscalibre.cl/libro-la-maquina-de-follar/9788433920447/p/2617574
24;Hijo de Satanás;15180.0;16699.375;15180.0;17540.0;90.901605599;9;70.0;https://www.buscalibre.cl/libro-hijo-de-satanas/9788433914675/p/1027372
25;Cartero;7650.0;7650.0;7650.0;7650.0;100.0;0;70.0;https://www.buscalibre.cl/libro-cartero/9788433920638/p/1027303
26;Fiebre en las Gradas;26140.0;25983.125;24040.0;26810.0;100.603757246;0;70.0;https://www.buscalibre.cl/libro-fiebre-en-las-gradas/9788433974778/p/2517976
27;Como Ser Buenos;26110.0;25070.0;22340.0;30070.0;104.148384523;-4;70.0;https://www.buscalibre.cl/libro-como-ser-buenos/9788433969583/p/1271816
28;Juliet, desnuda;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-juliet-desnuda/9788433975430/p/3996455
29;Funny Girl;14730.0;14730.0;14730.0;14730.0;100.0;0;70.0;https://www.buscalibre.cl/libro-funny-girl/9788433979568/p/47391402
30;31 Canciones;11690.0;13043.75;11690.0;13710.0;89.6214662195;10;70.0;https://www.buscalibre.cl/libro-31-canciones/9788433973528/p/2517994
31;Juliet, Desnuda;17250.0;18957.5;17250.0;19920.0;90.9930106818;9;70.0;https://www.buscalibre.cl/libro-juliet-desnuda/9788433977120/p/27397657
32;En Picado;8500.0;8500.0;8500.0;8500.0;100.0;0;70.0;https://www.buscalibre.cl/libro-en-picado/9788433973634/p/3036008
33;El año del Verano que Nunca Llego;12270.0;13258.125;12270.0;13820.0;92.5470230519;7;70.0;https://www.buscalibre.cl/libro-el-ano-del-verano-que-nunca-llego/9786073130493/p/46548386
34;Crónica de una Muerte Anunciada (Literatura Random House);13540.0;14691.875;13400.0;16010.0;92.1597821925;7;70.0;https://www.buscalibre.cl/libro-cronica-de-una-muerte-anunciada-literatura-random-house/9788439728382/p/41454304
35;Vivir Para Contarla;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-vivir-para-contarla/9788439728405/p/41447051
36;Relato de un Náufrago;18110.0;19401.875;17880.0;21330.0;93.3414940566;6;70.0;https://www.buscalibre.cl/libro-relato-de-un-naufrago/9788439728399/p/41460322
37;El Mundo Conocido;26350.0;29955.625;26350.0;30710.0;87.9634459304;12;70.0;https://www.buscalibre.cl/libro-el-mundo-conocido/9788493401597/p/1811127
38;En la Corte del Lobo;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-en-la-corte-del-lobo/9788423344147/p/6116306
39;Gilead - st Martin`S Press (libro en Inglés);21770.0;20314.1667;0.0;22760.0;107.166591283;-7;70.0;https://www.buscalibre.cl/libro-gilead-st-martin-s-press-libro-en-ingles/9780312424404/p/1754380
40;Las Correcciones;13560.0;15948.125;13560.0;17920.0;85.0256691617;14;70.0;https://www.buscalibre.cl/libro-las-correcciones/9788498385786/p/38437297
41;Asombrosas Aventuras de Kavalier y Clay;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-asombrosas-aventuras-de-kavalier-y-clay/9788497598859/p/3499080
42;El Tiempo es un Canalla;15000.0;15125.0;15000.0;17000.0;99.173553719;0;70.0;https://www.buscalibre.cl/libro-el-tiempo-es-un-canalla/9788495587831/p/4629109
43;Medio sol Amarillo;29260.0;32042.5;29260.0;33680.0;91.3162206445;8;70.0;https://www.buscalibre.cl/libro-medio-sol-amarillo/9788439720690/p/3712706
44;Dientes Blancos;19150.0;20188.75;19150.0;22510.0;94.8548077518;5;70.0;https://www.buscalibre.cl/libro-dientes-blancos/9788478886869/p/996952
45;Middlesex;12750.0;12750.0;12750.0;12750.0;100.0;0;70.0;https://www.buscalibre.cl/libro-middlesex/9788433976994/p/14871294
46;La Gran Guerra;22040.0;22040.0;22040.0;22040.0;100.0;0;70.0;https://www.buscalibre.cl/libro-la-gran-guerra/9788439727514/p/39259251
47;Princesas al Poder;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-princesas-al-poder/9789562571807/p/51162688
48;Donde Viven los Monstruos;20290.0;22261.875;20290.0;23390.0;91.1423678374;8;70.0;https://www.buscalibre.cl/libro-donde-viven-los-monstruos/9788484648581/p/40773629
49;Mickey a Travï¿ ½S de los Siglos;36460.0;40189.375;36460.0;46030.0;90.7204951557;9;70.0;https://www.buscalibre.cl/libro-mickey-a-travi-s-de-los-siglos/9788491736875/p/52089135
50;Sin City. Edición Integral Vol. 2;39630.0;43339.375;39630.0;45580.0;91.4410971547;8;70.0;https://www.buscalibre.cl/libro-sin-city-edicion-integral-vol-2/9788467904680/p/4580217
51;Spiderman: Toda una Vida;0.0;38516.0;0.0;44490.0;0.0;100;70.0;https://www.buscalibre.cl/libro-spiderman-toda-una-vida/9788413342597/p/52324084
52;Bone,Vol. 1: Lejos de Boneville;23330.0;25576.875;23330.0;26880.0;91.2152090511;8;70.0;https://www.buscalibre.cl/libro-bonevol-1-lejos-de-boneville/9788493508890/p/1973087
53;Fenix nº 01/12 (Nueva Edición);22370.0;23150.0;22370.0;23850.0;96.6306695464;3;70.0;https://www.buscalibre.cl/libro-fenix-n-01-12-nueva-edicion/9788491737001/p/50663112
54;Adolf;54160.0;51338.125;45050.0;62250.0;105.496646011;-5;70.0;https://www.buscalibre.cl/libro-adolf/9788415921455/p/34584545
55;Notas al pie de Gaza;29260.0;32042.5;29260.0;33680.0;91.3162206445;8;70.0;https://www.buscalibre.cl/libro-notas-al-pie-de-gaza/9788439722526/p/3384329
56;Gorazde (nueva ediciï¿½n);22530.0;23190.0;22530.0;23850.0;97.1539456662;2;70.0;https://www.buscalibre.cl/libro-gorazde-nueva-edicii-n/9788415480969/p/46669708
57;Historias de Bosnia;16150.0;16625.0;16150.0;17100.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-historias-de-bosnia/9788416543601/p/47310060
58;Usagi Yojimbo 3;31450.0;32375.0;31450.0;33300.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-usagi-yojimbo-3/9788491730170/p/50663383
59;37;31450.0;32375.0;31450.0;33300.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-37/9788416816446/p/49089121
60;Usagi Yojimbo 2;31450.0;32375.0;31450.0;33300.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-usagi-yojimbo-2/9788491467182/p/49180118
61;100 Balas Libro 01 (de 5);0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-100-balas-libro-01-de-5/9788418094491/p/52679864
62;Kobane Calling;25510.0;26961.25;25510.0;29980.0;94.6172747925;5;70.0;https://www.buscalibre.cl/libro-kobane-calling/9788416709571/p/48078364
63;Ciencia Oscura Edición de Lujo 1. Manual de Entropía Para Principiantes;48040.0;52501.25;48040.0;55220.0;91.5025832718;8;70.0;https://www.buscalibre.cl/libro-ciencia-oscura-edicion-de-lujo-1-manual-de-entropia-para-principiantes/9788467935097/p/51801216
64;Locke & key Omnibus 02;47290.0;51691.875;47290.0;54370.0;91.4843967258;8;70.0;https://www.buscalibre.cl/libro-locke-key-omnibus-02/9788490946466/p/47497454
65;Criminal Integral 01;46190.0;49096.875;44530.0;51210.0;94.0793074916;5;70.0;https://www.buscalibre.cl/libro-criminal-integral-01/9788490244401/p/31449620
66;Aidp, Integral 1;36410.0;39836.875;36410.0;41890.0;91.3977313733;8;70.0;https://www.buscalibre.cl/libro-aidp-integral-1/9788467909937/p/17927181
67;Alicia;28840.0;31909.375;28840.0;34020.0;90.380961708;9;70.0;https://www.buscalibre.cl/libro-alicia/9788426398550/p/46882530
68;Barrera;30560.0;33468.125;30560.0;35190.0;91.3107621057;8;70.0;https://www.buscalibre.cl/libro-barrera/9788417507466/p/52215138
69;Tintín Box. La Colección Completa;230780.0;247452.5;230780.0;261560.0;93.262343278;6;70.0;https://www.buscalibre.cl/libro-tintin-box-la-coleccion-completa/9788426144508/p/49027026
70;Donald Happiest Adventures;36460.0;40038.75;36460.0;43620.0;91.0617838968;8;70.0;https://www.buscalibre.cl/libro-donald-happiest-adventures/9788491736868/p/50663120
71;Star Wars Omnibus Jason Aaron  nº 01;63790.0;69961.875;63790.0;76490.0;91.1782310008;8;70.0;https://www.buscalibre.cl/libro-star-wars-omnibus-jason-aaron-n-01/9788491740230/p/52087733
72;Star Wars Darth Vader Omnibus;83410.0;90326.25;83410.0;95800.0;92.3430342785;7;70.0;https://www.buscalibre.cl/libro-star-wars-darth-vader-omnibus/9788491740223/p/52153919
73;The Boys Integral Vol. 1;0.0;50720.0;0.0;50720.0;0.0;100;70.0;https://www.buscalibre.cl/libro-the-boys-integral-vol-1/9788467911381/p/28270663
74;Asalto al Hades, el;16810.0;18760.625;16810.0;19730.0;89.6025585502;10;70.0;https://www.buscalibre.cl/libro-asalto-al-hades-el/9789873861062/p/51926092
75;Juan Solo (Integral);14020.0;14020.0;14020.0;14020.0;100.0;0;70.0;https://www.buscalibre.cl/libro-juan-solo-integral/9788417125486/p/50279437
76;Los Pitufos. Integral 01;36170.0;39576.25;36170.0;41620.0;91.3931966773;8;70.0;https://www.buscalibre.cl/libro-los-pitufos-integral-01/9788467924756/p/47864717
77;Los Malditos Nº 01;23330.0;25670.0;23330.0;27840.0;90.8843007402;9;70.0;https://www.buscalibre.cl/libro-los-malditos-n-01/9788491467847/p/50035833
78;Estrella Distante;20700.0;23116.875;20700.0;24530.0;89.5449752616;10;70.0;https://www.buscalibre.cl/libro-estrella-distante/9788417247096/p/50199162
79;From Hell;26780.0;27491.25;26190.0;28350.0;97.4128131678;2;70.0;https://www.buscalibre.cl/libro-from-hell/9788415480846/p/27870866
80;Los Muertos Vivientes Integral nº1;44480.0;48821.25;44480.0;53280.0;91.1078679878;8;70.0;https://www.buscalibre.cl/libro-los-muertos-vivientes-integral-n-1/9788468402772/p/4148775
81;1959 Metahulla #2;10630.0;9690.0;8750.0;10630.0;109.700722394;-9;70.0;https://www.buscalibre.cl/libro-1959-metahulla-2/9789569994159/p/50661232
82;Los Fantastibulosos Mundos de Roald Dahl;18700.0;18700.0;18700.0;18700.0;100.0;0;70.0;https://www.buscalibre.cl/libro-los-fantastibulosos-mundos-de-roald-dahl/9788416773206/p/47857639
83;The League of Extraordinary Gentlemen nº 02;17000.0;17500.0;17000.0;18000.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-the-league-of-extraordinary-gentlemen-n-02/9788416636006/p/47794339
84;The League of Extraordinary Gentlemen nº 03;17000.0;17500.0;17000.0;18000.0;97.1428571429;2;70.0;https://www.buscalibre.cl/libro-the-league-of-extraordinary-gentlemen-n-03/9788416636037/p/48006727
85;The League of Extraordinary Gentlemen nº 01;17000.0;17000.0;17000.0;17000.0;100.0;0;70.0;https://www.buscalibre.cl/libro-the-league-of-extraordinary-gentlemen-n-01/9788416543625/p/47340460
86;La Llamada de Cthulhu;26400.0;18697.5;16920.0;26400.0;141.195346972;-41;70.0;https://www.buscalibre.cl/libro-la-llamada-de-cthulhu/9788445006467/p/51447421
87;De Animales a Dioses. Breve Historia de la Humanidad;12750.0;12750.0;12750.0;12750.0;100.0;0;70.0;https://www.buscalibre.cl/libro-de-animales-a-dioses-breve-historia-de-la-humanidad/9789569583933/p/47861303
88;American Gods;15580.0;17133.75;15580.0;17990.0;90.9316407675;9;70.0;https://www.buscalibre.cl/libro-american-gods/9788415729204/p/34489513
89;Buenos Presagios;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-buenos-presagios/9789569957017/p/51505029
90;Logia;0.0;1.0;0.0;0.0;0.0;100;70.0;https://www.buscalibre.cl/libro-logia/9786070732034/p/47258017
91;El Verbo Kaifman;0.0;13600.0;0.0;13600.0;0.0;100;70.0;https://www.buscalibre.cl/libro-el-verbo-kaifman/9789562478823/p/46343474
92;Cochrane vs. Cthulhu;8000.0;8800.0;8000.0;14400.0;90.9090909091;9;70.0;https://www.buscalibre.cl/libro-cochrane-vs-cthulhu/9789569585340/p/48188553
93;Andinia. La Catedral Antartica;15300.0;10800.0;6300.0;15300.0;141.666666667;-41;70.0;https://www.buscalibre.cl/libro-andinia-la-catedral-antartica/9789563601480/p/47477160
94;Cuentos Completos i  (Philip k. Dick ) (Bibliotecas de Autor);23330.0;25583.75;23330.0;26890.0;91.1906972199;8;70.0;https://www.buscalibre.cl/libro-cuentos-completos-i-philip-k-dick-bibliotecas-de-autor/9788445007211/p/52290979
95;Ubik;19310.0;21267.5;19310.0;23000.0;90.795815211;9;70.0;https://www.buscalibre.cl/libro-ubik/9788445007372/p/52154637
96;Los Tres Estigmas de Palmer Eldritch;19310.0;21201.875;19310.0;22280.0;91.0768505144;8;70.0;https://www.buscalibre.cl/libro-los-tres-estigmas-de-palmer-eldritch/9788445007150/p/52062116
